projectId,trlCurrent,duration_months,trl_gap,primaryTxLevel,otherOrgCount
117530,,3.066666666666667,,1,2
117526,3.0,16.133333333333333,0.0,3,6
117525,4.0,11.2,0.0,3,6
117545,,22.666666666666668,,2,2
117519,,11.8,,3,2
96170,4.0,38.166666666666664,0.0,3,2
117529,,8.366666666666667,,3,2
117521,,21.366666666666667,,2,2
117544,,4.333333333333333,,2,2
93868,4.0,10.133333333333333,0.0,3,2
93974,4.0,61.666666666666664,0.0,3,14
4851,6.0,61.06666666666667,0.0,3,52
146757,3.0,12.166666666666666,0.0,1,1
157086,3.0,13.166666666666666,0.0,3,1
90995,3.0,48.666666666666664,0.0,3,1
154487,2.0,24.333333333333332,2.0,3,2
154531,4.0,24.333333333333332,1.0,3,2
154382,5.0,13.2,0.0,3,3
96525,3.0,36.46666666666667,3.0,3,2
93255,3.0,12.133333333333333,0.0,3,1
94841,6.0,24.333333333333332,0.0,3,1
117098,3.0,110.6,3.0,3,5
105665,3.0,28.333333333333332,3.0,3,4
156386,5.0,39.333333333333336,0.0,3,3
155235,4.0,42.53333333333333,1.0,3,2
155234,6.0,16.233333333333334,0.0,3,1
146492,5.0,12.133333333333333,0.0,1,2
116764,5.0,50.7,0.0,3,3
116760,5.0,42.53333333333333,0.0,3,4
154843,,24.333333333333332,,2,2
156353,2.0,48.666666666666664,1.0,3,2
154840,,29.366666666666667,,2,3
88223,,36.5,,3,1
156345,2.0,21.3,1.0,3,2
156366,2.0,12.166666666666666,1.0,3,2
154855,5.0,33.43333333333333,0.0,3,4
24052,,12.133333333333333,,3,1
156367,2.0,48.666666666666664,1.0,3,2
146491,5.0,12.133333333333333,0.0,3,2
146360,5.0,12.133333333333333,0.0,3,1
156362,2.0,48.666666666666664,1.0,3,2
155247,4.0,35.5,2.0,2,2
116763,5.0,7.633333333333334,0.0,3,2
156323,2.0,48.666666666666664,1.0,3,2
156364,2.0,48.666666666666664,1.0,3,2
154857,5.0,24.233333333333334,0.0,3,2
154845,,24.333333333333332,,3,2
