,AICW_score,AICW_rank,FUCOM_score,FUCOM_rank,LBWA_score,LBWA_rank,MEREC_score,MEREC_rank,SD_score,SD_rank
10476,176324976.80500063,159.0,184923686.14152572,162.0,166154137.94493595,166.0,44678454.99384235,178.0,187257495.79694173,157.0
92760,282169019.0817058,16.0,241049254.55571622,55.0,247765603.9615398,24.0,47979345.61101983,161.0,221463323.946794,108.0
92033,189550000.25330812,142.0,198143293.62055027,142.0,174484900.88181353,151.0,40564049.83739206,195.0,195922448.9526529,146.0
91951,152165737.29886606,193.0,177338500.58115172,178.0,145682051.41568628,192.0,37607574.843922175,202.0,183032120.85687932,165.0
15097,165295029.1151327,178.0,173898883.0312909,182.0,158423171.1120547,178.0,41181590.34661982,193.0,179509429.49295488,169.0
34757,228698785.1157842,81.0,204173493.59361914,130.0,208430649.7608447,87.0,46374851.7349753,170.0,197872698.02797467,142.0
17477,188996617.51446688,143.0,181032885.49239814,169.0,178309072.77838427,143.0,45668952.196833,175.0,183314895.24381354,163.0
15098,245596725.93519813,57.0,221034458.8100021,94.0,219747487.1731987,62.0,47506439.59384972,163.0,209009344.11089632,124.0
11027,242438906.17275622,60.0,217880737.4156067,102.0,217625246.08448905,68.0,47271365.77358313,164.0,206886737.02916625,129.0
10999,257229815.3306445,46.0,249526796.61122555,41.0,243855112.99173817,29.0,109477612.63895069,49.0,227772105.2229267,100.0
10968,205893002.4472811,116.0,197913215.5428618,143.0,189385823.4560723,125.0,44377299.758945085,180.0,194559932.9373918,147.0
10967,248242171.02336937,53.0,260557083.07628128,25.0,243278347.45048335,31.0,137816212.0689356,32.0,285187758.327764,36.0
91917,146346554.65388137,199.0,154995919.49899924,201.0,145449637.84513068,193.0,37347907.128257915,203.0,166882178.6132312,176.0
15090,267537978.51932,25.0,246422550.33122337,44.0,243635184.4477,30.0,78320964.88029933,88.0,274976190.4807139,46.0
92788,266226497.0306651,27.0,265455893.586241,22.0,248809292.03297168,22.0,107460701.72334103,52.0,342317230.9175428,15.0
96946,149995801.4332417,195.0,163331116.05919474,197.0,144095980.71044952,194.0,92394132.55862282,76.0,147492682.41764566,195.0
11860,258630993.82069173,41.0,235618102.61962146,61.0,232921513.28048736,46.0,64227193.437161736,118.0,241053207.31813854,77.0
96411,172648679.09148157,163.0,152531674.37301743,202.0,147544815.81234118,190.0,40797141.51900958,194.0,139874515.614338,200.0
96410,197324720.01152214,126.0,160656486.80295452,198.0,167249758.0355002,164.0,37708693.61083092,200.0,143998121.00878307,198.0
96409,160164019.518138,183.0,140074966.0746636,206.0,138597155.7260958,203.0,34768861.0117162,206.0,131258065.9807426,205.0
96401,165120865.1537272,179.0,145019504.43497157,204.0,142207064.61806232,196.0,37687307.497820735,201.0,134702220.65807495,203.0
96399,177491058.73229614,158.0,174242115.72434634,181.0,167088684.2454253,165.0,102262801.83557265,60.0,154072732.29397547,188.0
96398,168230635.72134355,174.0,164999585.37521634,195.0,160586517.58654466,177.0,99023989.25813133,66.0,147735821.06278092,194.0
96397,170668770.4236105,167.0,167446303.8432974,190.0,161667855.2115468,174.0,94106588.5740447,71.0,149150098.70036998,191.0
96936,197250832.60628194,127.0,180079973.98947757,172.0,171030593.57322633,157.0,59838261.73182529,132.0,199705165.74465278,140.0
94346,172423159.92117313,164.0,181021059.17419353,170.0,163810503.25176114,170.0,46937446.60362377,165.0,184747080.16534996,160.0
94337,141744489.67129058,202.0,167418846.92562714,191.0,140550368.76349226,201.0,46127510.28777773,171.0,183617994.4079919,162.0
94344,167672457.6236941,175.0,176276522.56315625,179.0,160617751.17140144,176.0,46583795.72357668,168.0,181553777.47602162,166.0
94340,154551614.63229018,190.0,179715407.3637218,173.0,147564118.00534055,189.0,40334633.79494241,197.0,184748135.2552811,159.0
91897,234836226.61019,73.0,210308843.6720277,116.0,212276756.02124757,77.0,44282284.06874546,183.0,201885844.33689743,134.0
96942,192011274.2025291,137.0,174823719.54776558,180.0,168623766.6935476,162.0,69646019.2091714,109.0,196632416.73440835,145.0
106639,231731316.58813298,77.0,294341426.77197397,7.0,261361283.2361392,16.0,261173410.93734637,5.0,308326880.0316579,31.0
117090,191653202.98871675,138.0,253942562.68313798,31.0,215851585.1785761,71.0,209658465.62937647,12.0,283243960.5349322,37.0
93023,296960390.97003055,10.0,313000749.81759655,4.0,286868250.1600282,5.0,181051572.9312059,17.0,374368223.26877016,4.0
93284,174385041.0972783,161.0,201080214.87394047,137.0,164989388.028392,167.0,54885753.94085568,145.0,221028209.31025124,109.0
94853,102659939.99883805,214.0,131880061.98440473,208.0,87385088.72356226,214.0,21761429.907954045,210.0,123642174.9833125,206.0
96759,229904155.7662478,78.0,245711644.02460375,45.0,220720116.56127778,60.0,104583278.10305814,57.0,330140699.8935015,23.0
146878,158157073.85333085,187.0,125510500.44087589,209.0,115280199.39739041,209.0,17331469.702929653,212.0,90978501.09381765,209.0
95916,177603657.1936763,157.0,226540925.21212417,81.0,178214256.87966558,144.0,100342888.74881169,61.0,319462487.00913095,28.0
94847,258060551.70479065,42.0,253494248.6643395,33.0,233308758.12785912,43.0,74892475.37093304,98.0,280731848.66437376,40.0
117093,165703537.8709441,177.0,231501226.57674927,72.0,187899260.41132075,128.0,173309456.744427,18.0,322968254.74400675,27.0
147022,263930931.29299015,30.0,204728576.78056258,127.0,212081098.3824547,78.0,89131455.01832706,80.0,236105793.06920597,89.0
117419,308793155.30132556,6.0,269195958.5158293,17.0,269754631.3700467,14.0,63035978.485470995,120.0,262307942.43415707,58.0
96770,169573587.3599507,173.0,103850295.35954614,214.0,130309610.2933189,205.0,18528381.189476717,211.0,74175526.71649739,214.0
154830,161227199.37627292,182.0,148643232.58552215,203.0,161388951.8129049,175.0,166463611.67068434,21.0,144874926.85333264,197.0
95606,169886832.48469993,172.0,197222227.20731133,145.0,163635082.7801338,171.0,59877622.24753227,130.0,227354033.03560776,101.0
106557,221350609.3799438,87.0,233345278.9505299,65.0,205794940.88573316,91.0,79634547.79422426,87.0,268631644.79954535,50.0
117539,217735138.51070157,96.0,229740374.45686775,76.0,203086514.9341035,98.0,76815955.67425069,92.0,266089128.52861157,53.0
95586,188502040.61418644,144.0,215795653.49928826,107.0,176981449.33114052,147.0,68911721.81129475,110.0,240203570.95213428,81.0
94154,192564636.40554434,135.0,219847102.61516568,96.0,179990369.59621584,141.0,71763598.71997866,105.0,243046633.35853428,74.0
91402,245366901.9298743,58.0,257230543.2322571,27.0,226671783.31236747,53.0,124763012.77928647,33.0,286683682.560125,35.0
10935,269698190.849914,23.0,210482477.26863575,115.0,216235653.21754146,70.0,92110230.18396904,77.0,240094687.61707082,82.0
106556,273375327.39641315,21.0,268695163.37470585,18.0,248059051.78741986,23.0,116823733.7644418,37.0,292822657.8630916,32.0
91410,261429809.46576497,38.0,255549249.4037134,28.0,234185899.97426468,41.0,82335992.27850011,86.0,265083779.36262926,55.0
106559,192144470.87485027,136.0,218793099.43742672,99.0,178039237.3965722,145.0,66405597.73748861,113.0,233414802.14304954,94.0
117526,184180058.19966486,149.0,210839023.3542171,114.0,172686682.43832216,155.0,65812712.438586146,114.0,228061324.1050578,99.0
117525,219552259.0045864,92.0,229634365.593647,77.0,200137307.4939441,103.0,68619405.88285959,111.0,239599194.5912335,83.0
96170,193996088.3976224,132.0,204134859.18028185,131.0,181847588.53505594,139.0,56519158.583090566,141.0,221971828.52124333,107.0
93868,217498092.11632735,98.0,227606360.88547227,80.0,197642320.88554123,108.0,58268690.289676465,137.0,237769284.76668552,88.0
93974,183139896.71437177,151.0,193222268.62173703,151.0,177894983.55474076,146.0,86304403.0923536,83.0,216022020.7137049,116.0
4851,309345422.62361807,5.0,291688330.18851817,8.0,295675605.9160986,3.0,240866021.44639897,8.0,364788923.57872427,7.0
146757,158129128.54569864,188.0,125482591.40198743,210.0,115261418.50280006,210.0,17329389.403635263,213.0,90959716.960351,210.0
157086,182981669.66332033,152.0,209671560.37453306,117.0,170488213.01274574,160.0,52976252.612532556,151.0,226694359.36423808,104.0
90995,143614473.16340387,201.0,168798334.68128455,189.0,139935097.67103887,202.0,36971003.25983742,205.0,177284176.01608828,171.0
154487,203283658.62562534,119.0,285930416.6360296,9.0,228330356.0009891,49.0,227014374.08932826,9.0,358722807.7650601,8.0
154531,218064839.68941084,95.0,245046719.28686765,46.0,214312712.44630167,73.0,119416064.81419714,35.0,249093529.02592745,68.0
